,Date,Year,Country,Activity,Sex,Age,Fatal (Y/N),Time,Age2
0,Jun,2018,USA,Surfing,M,48,N,07,48
1,Dec,2017,USA,Surfing,F,54,N,18,54
2,Dec,2017,USA,Surfing,F,35,N,12,35
3,Nov,2017,USA,Surfing,F,14,N,UNKNOWN,14
4,Oct,2017,USA,Surfing,M,54,N,18,54
5,Sep,2017,USA,Surfing,M,0,N,UNKNOWN,17
6,Sep,2017,USA,Surfing,M,33,UNKNOWN,15,33
7,Sep,2017,USA,Surfing,M,0,N,14,17
8,Sep,2017,USA,Surfing,M,0,N,UNKNOWN,17
9,Sep,2017,USA,Surfing,M,28,N,16,28
10,Sep,2017,USA,Surfing,M,18,N,18,18
11,Sep,2017,USA,Surfing,M,17,N,10,17
12,Jul,2017,USA,Surfing,M,0,N,18,17
13,Jun,2017,USA,Surfing,M,0,N,UNKNOWN,17
14,Jun,2017,USA,Surfing,M,19,N,10,19
15,May,2017,USA,Surfing,F,18,UNKNOWN,14,18
16,Apr,2017,USA,Surfing,F,33,N,11,33
17,Apr,2017,USA,Surfing,M,28,N,09,28
18,Apr,2017,USA,Surfing,M,17,N,13,17
19,Apr,2017,USA,Surfing,F,0,N,13,17
20,Apr,2017,USA,Surfing,F,35,N,16,35
21,Mar,2017,USA,Surfing,M,58,N,10,58
22,Dec,2016,USA,Surfing,M,16,N,17,16
23,Dec,2016,USA,Surfing,M,19,UNKNOWN,UNKNOWN,19
24,Oct,2016,USA,Surfing,M,41,N,UNKNOWN,41
25,Oct,2016,USA,Surfing,M,42,N,UNKNOWN,42
26,Oct,2016,USA,Surfing,M,36,N,17,36
27,Oct,2016,USA,Surfing,M,29,N,16,29
28,Oct,2016,USA,Surfing,M,21,N,11,21
29,Sep,2016,USA,Surfing,M,16,N,13,16
30,Sep,2016,USA,Surfing,M,36,N,11,36
31,Sep,2016,USA,Surfing,M,43,N,10,43
32,Sep,2016,USA,Surfing,M,43,N,UNKNOWN,43
33,Aug,2016,USA,Surfing,M,25,N,15,25
34,Aug,2016,USA,Surfing,M,37,N,14,37
35,Aug,2016,USA,Surfing,M,22,N,UNKNOWN,22
36,Jul,2016,USA,Surfing,F,9,N,13,9
37,Jun,2016,USA,Surfing,M,11,N,14,11
38,Jun,2016,USA,Surfing,M,0,N,06,17
39,Jun,2016,USA,Surfing,M,27,UNKNOWN,11,27
40,Apr,2016,USA,Surfing,M,15,N,17,15
41,Mar,2016,USA,Surfing,UNKNOWN,0,UNKNOWN,UNKNOWN,17
42,Jan,2016,USA,Surfing,M,0,N,14,17
43,Jan,2016,USA,Surfing,F,15,N,11,15
44,Nov,2015,USA,Surfing,M,0,N,UNKNOWN,17
45,Nov,2015,USA,Surfing,M,28,N,UNKNOWN,28
46,Nov,2015,USA,Surfing,F,9,UNKNOWN,11,9
47,Oct,2015,USA,Surfing,M,21,N,14,21
48,Oct,2015,USA,Surfing,M,21,N,13,21
49,Oct,2015,USA,Surfing,M,32,UNKNOWN,19,32
50,Oct,2015,USA,Surfing,M,25,N,10,25
51,Oct,2015,USA,Surfing,M,14,N,08,14
52,Sep,2015,USA,Surfing,M,22,N,16,22
53,Sep,2015,USA,Surfing,M,14,N,16,14
54,Sep,2015,USA,Surfing,M,20,N,15,20
55,Aug,2015,USA,Surfing,F,54,N,10,54
56,Aug,2015,USA,Surfing,M,21,N,10,21
57,Aug,2015,USA,Surfing,M,15,N,12,15
58,Jul,2015,USA,Surfing,M,25,N,19,25
59,Jul,2015,USA,Surfing,M,38,N,08,38
60,UNKNOWN,2015,USA,Surfing,M,18,N,10,18
61,Dec,2014,USA,Surfing,M,50,N,11,50
62,Nov,2014,USA,Surfing,M,44,N,13,44
63,Nov,2014,USA,Surfing,M,18,N,16,18
64,Oct,2014,USA,Surfing,F,34,N,11,34
65,Oct,2014,USA,Surfing,M,0,N,11,17
66,Oct,2014,USA,Surfing,M,29,N,11,29
67,Oct,2014,USA,Surfing,M,15,N,11,15
68,Oct,2014,USA,Surfing,M,28,N,17,28
69,Sep,2014,USA,Surfing,M,0,N,11,17
70,Sep,2014,USA,Surfing,M,0,UNKNOWN,18,17
71,Aug,2014,USA,Surfing,M,17,N,UNKNOWN,17
72,Aug,2014,USA,Surfing,M,29,N,UNKNOWN,29
73,Aug,2014,USA,Surfing,M,50,N,UNKNOWN,50
74,Jul,2014,USA,Surfing,M,14,N,14,14
75,Jul,2014,USA,Surfing,M,0,N,07,17
76,May,2014,USA,Surfing,M,12,N,UNKNOWN,12
77,May,2014,USA,Surfing,M,23,N,15,23
78,Apr,2014,USA,Surfing,M,0,N,13,17
79,Apr,2014,USA,Surfing,M,0,N,13,17
80,Mar,2014,USA,Surfing,M,9,N,UNKNOWN,9
81,Mar,2014,USA,Surfing,M,21,N,UNKNOWN,21
82,Dec,2013,USA,Surfing,M,30,N,14,30
83,Nov,2013,USA,Surfing,M,25,N,10,25
84,Nov,2013,USA,Surfing,M,0,N,UNKNOWN,17
